article,token,ann1,ann2,diff,final,
2016-42-2-307-343,data,I,I,F,I,
2016-42-2-307-343,.,O,O,F,O,
2016-42-2-307-343,Identifying,O,O,F,O,
2016-42-2-307-343,the,O,O,F,O,
2016-42-2-307-343,parallel,B,O,T,O,
2016-42-2-307-343,content,I,O,T,O,
2016-42-2-307-343,requires,O,O,F,O,
2016-42-2-307-343,solving,O,O,F,O,
2016-42-2-307-343,an,O,O,F,O,
2016-42-2-307-343,alignment,B,O,T,B,
2016-42-2-307-343,problem,I,O,T,I,
2016-42-2-307-343,",",O,O,F,O,
2016-42-2-307-343,and,O,O,F,O,
2016-42-2-307-343,we,O,O,F,O,
2016-42-2-307-343,give,O,O,F,O,
2016-42-2-307-343,an,O,O,F,O,
2016-42-2-307-343,optimally,B,O,T,O,
2016-42-2-307-343,efficient,I,O,T,O,
2016-42-2-307-343,dynamic,I,B,T,B,
2016-42-2-307-343,programming,I,I,F,I,
2016-42-2-307-343,algorithm,I,I,F,I,
2016-42-2-307-343,for,O,O,F,O,
2016-42-2-307-343,this,O,O,F,O,
2016-42-2-307-343,.,O,O,F,O,
2016-42-2-307-343,Using,O,O,F,O,
2016-42-2-307-343,our,O,O,F,O,
2016-42-2-307-343,method,O,O,F,O,
2016-42-2-307-343,",",O,O,F,O,
2016-42-2-307-343,we,O,O,F,O,
2016-42-2-307-343,extract,B,O,T,O,
2016-42-2-307-343,nearly,O,O,F,O,
2016-42-2-307-343,3,O,O,F,O,
2016-42-2-307-343,M,O,O,F,O,
2016-42-2-307-343,Chinese,O,O,F,O,
2016-42-2-307-343,–,O,O,F,O,
2016-42-2-307-343,English,O,O,F,O,
2016-42-2-307-343,parallel,B,O,T,B,
2016-42-2-307-343,segments,I,O,T,I,
2016-42-2-307-343,from,O,O,F,O,
2016-42-2-307-343,Sina,O,O,F,O,
2016-42-2-307-343,Weibo,O,O,F,O,
2016-42-2-307-343,using,O,O,F,O,
2016-42-2-307-343,a,O,O,F,O,
2016-42-2-307-343,targeted,B,O,T,O,
2016-42-2-307-343,crawl,I,O,T,O,
2016-42-2-307-343,of,O,O,F,O,
2016-42-2-307-343,Weibo,O,O,F,O,
2016-42-2-307-343,users,O,O,F,O,
2016-42-2-307-343,who,O,O,F,O,
2016-42-2-307-343,post,O,O,F,O,
2016-42-2-307-343,in,O,O,F,O,
2016-42-2-307-343,multiple,O,O,F,O,
2016-42-2-307-343,languages,O,O,F,O,
2016-42-2-307-343,.,O,O,F,O,
2016-42-2-307-343,Additionally,O,O,F,O,
2016-42-2-307-343,",",O,O,F,O,
2016-42-2-307-343,from,O,O,F,O,
2016-42-2-307-343,a,O,O,F,O,
2016-42-2-307-343,random,B,O,T,O,
2016-42-2-307-343,sample,I,O,T,O,
2016-42-2-307-343,of,O,O,F,O,
2016-42-2-307-343,Twitter,O,O,F,O,
2016-42-2-307-343,",",O,O,F,O,
2016-42-2-307-343,we,O,O,F,O,
2016-42-2-307-343,obtain,O,O,F,O,
2016-42-2-307-343,substantial,O,O,F,O,
2016-42-2-307-343,amounts,O,O,F,O,
2016-42-2-307-343,of,O,O,F,O,
2016-42-2-307-343,parallel,B,B,F,B,
2016-42-2-307-343,data,I,I,F,I,
2016-42-2-307-343,in,O,O,F,O,
2016-42-2-307-343,multiple,O,O,F,O,
2016-42-2-307-343,language,B,O,T,B,
2016-42-2-307-343,pairs,I,O,T,I,
2016-42-2-307-343,.,O,O,F,O,
2016-42-2-307-343,Evaluation,O,O,F,O,
2016-42-2-307-343,is,O,O,F,O,
2016-42-2-307-343,performed,O,O,F,O,
2016-42-2-307-343,by,O,O,F,O,
2016-42-2-307-343,assessing,O,O,F,O,
2016-42-2-307-343,the,O,O,F,O,
2016-42-2-307-343,accuracy,O,O,F,O,
2016-42-2-307-343,of,O,O,F,O,
2016-42-2-307-343,our,O,O,F,O,
2016-42-2-307-343,extraction,B,O,T,O,
2016-42-2-307-343,approach,I,O,T,O,
2016-42-2-307-343,relative,O,O,F,O,
2016-42-2-307-343,to,O,O,F,O,
2016-42-2-307-343,a,O,O,F,O,
2016-42-2-307-343,manual,B,B,F,B,
2016-42-2-307-343,annotation,I,I,F,I,
2016-42-2-307-343,as,O,O,F,O,
2016-42-2-307-343,well,O,O,F,O,
2016-42-2-307-343,as,O,O,F,O,
2016-42-2-307-343,in,O,O,F,O,
2016-42-2-307-343,terms,O,O,F,O,
2016-42-2-307-343,of,O,O,F,O,
2016-42-2-307-343,utility,B,O,T,O,
2016-42-2-307-343,as,O,O,F,O,
2016-42-2-307-343,training,B,O,T,B,
2016-42-2-307-343,data,I,O,T,I,
2016-42-2-307-343,for,O,O,F,O,
2016-42-2-307-343,a,O,O,F,O,
2016-42-2-307-343,Chinese,O,O,F,O,
2016-42-2-307-343,–,O,O,F,O,
2016-42-2-307-343,English,O,O,F,O,
2016-42-2-307-343,machine,B,B,F,B,
2016-42-2-307-343,translation,I,I,F,I,
2016-42-2-307-343,system,I,O,T,I,
2016-42-2-307-343,.,O,O,F,O,
2016-42-2-307-343,Relative,O,O,F,O,
2016-42-2-307-343,to,O,O,F,O,
2016-42-2-307-343,traditional,O,O,F,O,
2016-42-2-307-343,parallel,B,B,F,B,
2016-42-2-307-343,data,I,I,F,I,
2016-42-2-307-343,resources,I,O,T,I,
2016-42-2-307-343,",",O,O,F,O,
2016-42-2-307-343,the,O,O,F,O,
2016-42-2-307-343,automatically,O,O,F,O,
2016-42-2-307-343,extracted,B,O,T,O,
2016-42-2-307-343,parallel,B,B,F,B,
2016-42-2-307-343,data,I,I,F,I,
2016-42-2-307-343,yield,O,O,F,O,
2016-42-2-307-343,substantial,O,O,F,O,
2016-42-2-307-343,translation,B,B,F,B,
2016-42-2-307-343,quality,I,O,T,O,
2016-42-2-307-343,improvements,O,O,F,O,
2016-42-2-307-343,in,O,O,F,O,
2016-42-2-307-343,translating,O,O,F,O,
2016-42-2-307-343,microblog,B,B,F,B,
2016-42-2-307-343,text,O,O,F,O,
2016-42-2-307-343,and,O,O,F,O,
2016-42-2-307-343,modest,O,O,F,O,
2016-42-2-307-343,improvements,O,O,F,O,
2016-42-2-307-343,in,O,O,F,O,
2016-42-2-307-343,translating,O,B,T,O,
2016-42-2-307-343,edited,O,O,F,O,
2016-42-2-307-343,news,O,O,F,O,
2016-42-2-307-343,content,O,O,F,O,
2016-42-2-307-343,.,O,O,F,O,
2016-42-4-661–701,This,O,O,F,O,
2016-42-4-661–701,article,O,O,F,O,
2016-42-4-661–701,introduces,O,O,F,O,
2016-42-4-661–701,RELPRON,B,B,F,B,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,a,O,O,F,O,
2016-42-4-661–701,large,B,O,T,O,
2016-42-4-661–701,data,I,O,T,O,
2016-42-4-661–701,set,I,O,T,O,
2016-42-4-661–701,of,O,O,F,O,
2016-42-4-661–701,subject,B,O,T,B,
2016-42-4-661–701,and,I,O,T,I,
2016-42-4-661–701,object,I,B,T,I,
2016-42-4-661–701,relative,I,I,F,I,
2016-42-4-661–701,clauses,I,I,F,I,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,for,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,evaluation,B,O,T,O,
2016-42-4-661–701,of,O,O,F,O,
2016-42-4-661–701,methods,O,O,F,O,
2016-42-4-661–701,in,O,O,F,O,
2016-42-4-661–701,compositional,B,O,T,B,
2016-42-4-661–701,distributional,I,B,T,I,
2016-42-4-661–701,semantics,I,I,F,I,
2016-42-4-661–701,.,O,O,F,O,
2016-42-4-661–701,RELPRON,B,B,F,B,
2016-42-4-661–701,targets,O,O,F,O,
2016-42-4-661–701,an,O,O,F,O,
2016-42-4-661–701,intermediate,B,O,T,O,
2016-42-4-661–701,level,I,O,T,O,
2016-42-4-661–701,of,I,O,T,O,
2016-42-4-661–701,grammatical,I,B,T,B,
2016-42-4-661–701,complexity,I,I,F,I,
2016-42-4-661–701,between,O,O,F,O,
2016-42-4-661–701,content,B,O,T,B,
2016-42-4-661–701,-,I,O,T,I,
2016-42-4-661–701,word,I,O,T,I,
2016-42-4-661–701,pairs,I,O,T,I,
2016-42-4-661–701,and,O,O,F,O,
2016-42-4-661–701,full,B,O,T,B,
2016-42-4-661–701,sentences,I,O,T,I,
2016-42-4-661–701,.,O,O,F,O,
2016-42-4-661–701,The,O,O,F,O,
2016-42-4-661–701,task,O,O,F,O,
2016-42-4-661–701,involves,O,O,F,O,
2016-42-4-661–701,matching,O,O,F,O,
2016-42-4-661–701,terms,B,O,T,O,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,such,O,O,F,O,
2016-42-4-661–701,as,O,O,F,O,
2016-42-4-661–701,“,O,O,F,O,
2016-42-4-661–701,wisdom,O,O,F,O,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,”,O,O,F,O,
2016-42-4-661–701,with,O,O,F,O,
2016-42-4-661–701,representative,B,O,T,B,
2016-42-4-661–701,properties,I,O,T,I,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,such,O,O,F,O,
2016-42-4-661–701,as,O,O,F,O,
2016-42-4-661–701,“,O,O,F,O,
2016-42-4-661–701,quality,O,O,F,O,
2016-42-4-661–701,that,O,O,F,O,
2016-42-4-661–701,experience,O,O,F,O,
2016-42-4-661–701,teaches,O,O,F,O,
2016-42-4-661–701,.,O,O,F,O,
2016-42-4-661–701,”,O,O,F,O,
2016-42-4-661–701,A,O,O,F,O,
2016-42-4-661–701,unique,O,O,F,O,
2016-42-4-661–701,feature,O,O,F,O,
2016-42-4-661–701,of,O,O,F,O,
2016-42-4-661–701,RELPRON,B,B,F,B,
2016-42-4-661–701,is,O,O,F,O,
2016-42-4-661–701,that,O,O,F,O,
2016-42-4-661–701,it,O,O,F,O,
2016-42-4-661–701,is,O,O,F,O,
2016-42-4-661–701,built,O,O,F,O,
2016-42-4-661–701,from,O,O,F,O,
2016-42-4-661–701,attested,B,O,T,B,
2016-42-4-661–701,properties,I,O,T,I,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,but,O,O,F,O,
2016-42-4-661–701,without,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,need,O,O,F,O,
2016-42-4-661–701,for,O,O,F,O,
2016-42-4-661–701,them,O,O,F,O,
2016-42-4-661–701,to,O,O,F,O,
2016-42-4-661–701,appear,O,O,F,O,
2016-42-4-661–701,in,O,O,F,O,
2016-42-4-661–701,relative,B,O,T,B,
2016-42-4-661–701,clause,I,B,T,I,
2016-42-4-661–701,format,I,I,F,I,
2016-42-4-661–701,in,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,source,B,O,T,B,
2016-42-4-661–701,corpus,I,O,T,I,
2016-42-4-661–701,.,O,O,F,O,
2016-42-4-661–701,The,O,O,F,O,
2016-42-4-661–701,article,O,O,F,O,
2016-42-4-661–701,also,O,O,F,O,
2016-42-4-661–701,presents,O,O,F,O,
2016-42-4-661–701,some,O,O,F,O,
2016-42-4-661–701,initial,O,O,F,O,
2016-42-4-661–701,experiments,O,O,F,O,
2016-42-4-661–701,on,O,O,F,O,
2016-42-4-661–701,RELPRON,B,B,F,B,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,using,O,O,F,O,
2016-42-4-661–701,a,O,O,F,O,
2016-42-4-661–701,variety,O,O,F,O,
2016-42-4-661–701,of,O,O,F,O,
2016-42-4-661–701,composition,B,O,T,B,
2016-42-4-661–701,methods,I,O,T,I,
2016-42-4-661–701,including,O,O,F,O,
2016-42-4-661–701,simple,B,O,T,B,
2016-42-4-661–701,baselines,I,O,T,I,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,arithmetic,B,O,T,B,
2016-42-4-661–701,operators,I,O,T,I,
2016-42-4-661–701,on,I,O,T,O,
2016-42-4-661–701,vectors,I,O,T,O,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,and,O,O,F,O,
2016-42-4-661–701,finally,O,O,F,O,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,more,O,O,F,O,
2016-42-4-661–701,complex,O,O,F,O,
2016-42-4-661–701,methods,O,O,F,O,
2016-42-4-661–701,in,O,O,F,O,
2016-42-4-661–701,which,O,O,F,O,
2016-42-4-661–701,argument,B,O,T,O,
2016-42-4-661–701,-,I,O,T,O,
2016-42-4-661–701,taking,I,O,T,O,
2016-42-4-661–701,words,I,O,T,O,
2016-42-4-661–701,are,O,O,F,O,
2016-42-4-661–701,represented,B,O,T,O,
2016-42-4-661–701,as,O,O,F,O,
2016-42-4-661–701,tensors,B,O,T,B,
2016-42-4-661–701,.,O,O,F,O,
2016-42-4-661–701,The,O,O,F,O,
2016-42-4-661–701,latter,O,O,F,O,
2016-42-4-661–701,methods,O,O,F,O,
2016-42-4-661–701,are,O,O,F,O,
2016-42-4-661–701,based,O,O,F,O,
2016-42-4-661–701,on,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,Categorial,B,B,F,B,
2016-42-4-661–701,framework,I,I,F,I,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,which,O,O,F,O,
2016-42-4-661–701,is,O,O,F,O,
2016-42-4-661–701,described,O,O,F,O,
2016-42-4-661–701,in,O,O,F,O,
2016-42-4-661–701,detail,O,O,F,O,
2016-42-4-661–701,.,O,O,F,O,
2016-42-4-661–701,The,O,O,F,O,
2016-42-4-661–701,results,O,O,F,O,
2016-42-4-661–701,show,O,O,F,O,
2016-42-4-661–701,that,O,O,F,O,
2016-42-4-661–701,vector,B,O,T,B,
2016-42-4-661–701,addition,I,O,T,I,
2016-42-4-661–701,is,O,O,F,O,
2016-42-4-661–701,difficult,O,O,F,O,
2016-42-4-661–701,to,O,O,F,O,
2016-42-4-661–701,beat,O,O,F,O,
2016-42-4-661–701,—,O,O,F,O,
2016-42-4-661–701,in,O,O,F,O,
2016-42-4-661–701,line,O,O,F,O,
2016-42-4-661–701,with,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,existing,O,O,F,O,
2016-42-4-661–701,literature,O,O,F,O,
2016-42-4-661–701,—,O,O,F,O,
2016-42-4-661–701,but,O,O,F,O,
2016-42-4-661–701,that,O,O,F,O,
2016-42-4-661–701,an,O,O,F,O,
2016-42-4-661–701,implementation,O,O,F,O,
2016-42-4-661–701,of,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,Categorial,B,B,F,B,
2016-42-4-661–701,framework,I,I,F,I,
2016-42-4-661–701,based,O,O,F,O,
2016-42-4-661–701,on,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,Practical,B,B,F,B,
2016-42-4-661–701,Lexical,I,I,F,I,
2016-42-4-661–701,Function,I,I,F,I,
2016-42-4-661–701,model,I,O,T,I,
2016-42-4-661–701,is,O,O,F,O,
2016-42-4-661–701,able,O,O,F,O,
2016-42-4-661–701,to,O,O,F,O,
2016-42-4-661–701,match,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,performance,O,O,F,O,
2016-42-4-661–701,of,O,O,F,O,
2016-42-4-661–701,vector,B,O,T,B,
2016-42-4-661–701,addition,I,O,T,I,
2016-42-4-661–701,.,O,O,F,O,
2016-42-4-661–701,The,O,O,F,O,
2016-42-4-661–701,article,O,O,F,O,
2016-42-4-661–701,finishes,O,O,F,O,
2016-42-4-661–701,with,O,O,F,O,
2016-42-4-661–701,an,O,O,F,O,
2016-42-4-661–701,in,O,O,F,O,
2016-42-4-661–701,-,O,O,F,O,
2016-42-4-661–701,depth,O,O,F,O,
2016-42-4-661–701,analysis,O,O,F,O,
2016-42-4-661–701,of,O,O,F,O,
2016-42-4-661–701,RELPRON,B,B,F,B,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,showing,O,O,F,O,
2016-42-4-661–701,how,O,O,F,O,
2016-42-4-661–701,results,O,O,F,O,
2016-42-4-661–701,vary,O,O,F,O,
2016-42-4-661–701,across,O,O,F,O,
2016-42-4-661–701,subject,B,O,T,B,
2016-42-4-661–701,and,I,O,T,I,
2016-42-4-661–701,object,I,B,T,I,
2016-42-4-661–701,relative,I,I,F,I,
2016-42-4-661–701,clauses,I,I,F,I,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,across,O,O,F,O,
2016-42-4-661–701,different,O,O,F,O,
2016-42-4-661–701,head,B,O,T,B,
2016-42-4-661–701,nouns,I,O,T,I,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,and,O,O,F,O,
2016-42-4-661–701,how,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,methods,O,O,F,O,
2016-42-4-661–701,perform,O,O,F,O,
2016-42-4-661–701,on,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,subtasks,B,O,T,O,
2016-42-4-661–701,necessary,O,O,F,O,
2016-42-4-661–701,for,O,O,F,O,
2016-42-4-661–701,capturing,O,O,F,O,
2016-42-4-661–701,relative,B,O,T,B,
2016-42-4-661–701,clause,I,O,T,I,
2016-42-4-661–701,semantics,I,B,T,I,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,as,O,O,F,O,
2016-42-4-661–701,well,O,O,F,O,
2016-42-4-661–701,as,O,O,F,O,
2016-42-4-661–701,providing,O,O,F,O,
2016-42-4-661–701,a,O,O,F,O,
2016-42-4-661–701,qualitative,B,O,T,B,
2016-42-4-661–701,analysis,I,O,T,I,
2016-42-4-661–701,highlighting,O,O,F,O,
2016-42-4-661–701,some,O,O,F,O,
2016-42-4-661–701,of,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,more,O,O,F,O,
2016-42-4-661–701,common,O,O,F,O,
2016-42-4-661–701,errors,B,O,T,O,
2016-42-4-661–701,.,O,O,F,O,
2016-42-4-661–701,Our,O,O,F,O,
2016-42-4-661–701,hope,O,O,F,O,
2016-42-4-661–701,is,O,O,F,O,
2016-42-4-661–701,that,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,competitive,O,O,F,O,
2016-42-4-661–701,results,O,O,F,O,
2016-42-4-661–701,presented,O,O,F,O,
2016-42-4-661–701,here,O,O,F,O,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,in,O,O,F,O,
2016-42-4-661–701,which,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,best,O,O,F,O,
2016-42-4-661–701,systems,B,O,T,O,
2016-42-4-661–701,are,O,O,F,O,
2016-42-4-661–701,on,O,O,F,O,
2016-42-4-661–701,average,O,O,F,O,
2016-42-4-661–701,ranking,O,O,F,O,
2016-42-4-661–701,one,O,O,F,O,
2016-42-4-661–701,out,O,O,F,O,
2016-42-4-661–701,of,O,O,F,O,
2016-42-4-661–701,every,O,O,F,O,
2016-42-4-661–701,two,O,O,F,O,
2016-42-4-661–701,properties,B,O,T,O,
2016-42-4-661–701,correctly,O,O,F,O,
2016-42-4-661–701,for,O,O,F,O,
2016-42-4-661–701,a,O,O,F,O,
2016-42-4-661–701,given,O,O,F,O,
2016-42-4-661–701,term,B,O,T,O,
2016-42-4-661–701,",",O,O,F,O,
2016-42-4-661–701,will,O,O,F,O,
2016-42-4-661–701,inspire,O,O,F,O,
2016-42-4-661–701,new,O,O,F,O,
2016-42-4-661–701,approaches,O,O,F,O,
2016-42-4-661–701,to,O,O,F,O,
2016-42-4-661–701,the,O,O,F,O,
2016-42-4-661–701,RELPRON,B,B,F,B,
2016-42-4-661–701,ranking,I,O,T,I,
2016-42-4-661–701,task,I,O,T,I,
2016-42-4-661–701,and,O,O,F,O,
2016-42-4-661–701,other,O,O,F,O,
2016-42-4-661–701,tasks,O,O,F,O,
2016-42-4-661–701,based,O,O,F,O,
2016-42-4-661–701,on,O,O,F,O,
2016-42-4-661–701,linguistically,B,B,F,B,
2016-42-4-661–701,interesting,I,O,T,O,
2016-42-4-661–701,constructions,I,O,T,O,
2016-42-4-661–701,.,O,O,F,O,
2016-42-1-121–161,We,O,O,F,O,
2016-42-1-121–161,present,O,O,F,O,
2016-42-1-121–161,online,B,O,T,O,
2016-42-1-121–161,learning,I,O,T,O,
2016-42-1-121–161,techniques,I,O,T,O,
2016-42-1-121–161,for,O,O,F,O,
2016-42-1-121–161,statistical,B,B,F,B,
2016-42-1-121–161,machine,I,I,F,I,
2016-42-1-121–161,translation,I,I,F,I,
2016-42-1-121–161,(,O,O,F,O,
2016-42-1-121–161,SMT,B,B,F,B,
2016-42-1-121–161,),O,O,F,O,
2016-42-1-121–161,.,O,O,F,O,
2016-42-1-121–161,The,O,O,F,O,
2016-42-1-121–161,availability,O,O,F,O,
2016-42-1-121–161,of,O,O,F,O,
2016-42-1-121–161,large,O,O,F,O,
2016-42-1-121–161,training,B,O,T,B,
2016-42-1-121–161,data,I,O,T,I,
2016-42-1-121–161,sets,I,O,T,I,
2016-42-1-121–161,that,O,O,F,O,
2016-42-1-121–161,grow,O,O,F,O,
2016-42-1-121–161,constantly,O,O,F,O,
2016-42-1-121–161,over,O,O,F,O,
2016-42-1-121–161,time,O,O,F,O,
2016-42-1-121–161,is,O,O,F,O,
2016-42-1-121–161,becoming,O,O,F,O,
2016-42-1-121–161,more,O,O,F,O,
2016-42-1-121–161,and,O,O,F,O,
2016-42-1-121–161,more,O,O,F,O,
2016-42-1-121–161,frequent,O,O,F,O,
2016-42-1-121–161,in,O,O,F,O,
2016-42-1-121–161,the,O,O,F,O,
2016-42-1-121–161,field,O,O,F,O,
2016-42-1-121–161,of,O,O,F,O,
2016-42-1-121–161,SMT,B,B,F,B,
2016-42-1-121–161,—,O,O,F,O,
2016-42-1-121–161,for,O,O,F,O,
2016-42-1-121–161,example,O,O,F,O,
2016-42-1-121–161,",",O,O,F,O,
2016-42-1-121–161,in,O,O,F,O,
2016-42-1-121–161,the,O,O,F,O,
2016-42-1-121–161,context,O,O,F,O,
2016-42-1-121–161,of,O,O,F,O,
2016-42-1-121–161,translation,B,B,F,B,
2016-42-1-121–161,agencies,I,I,F,I,
2016-42-1-121–161,or,O,O,F,O,
2016-42-1-121–161,the,O,O,F,O,
2016-42-1-121–161,daily,B,O,T,O,
2016-42-1-121–161,translation,I,O,T,O,
2016-42-1-121–161,of,I,O,T,O,
2016-42-1-121–161,government,I,O,T,O,
2016-42-1-121–161,proceedings,I,O,T,O,
2016-42-1-121–161,.,O,O,F,O,
2016-42-1-121–161,When,O,O,F,O,
2016-42-1-121–161,new,O,O,F,O,
2016-42-1-121–161,knowledge,B,O,T,O,
2016-42-1-121–161,is,O,O,F,O,
2016-42-1-121–161,to,O,O,F,O,
2016-42-1-121–161,be,O,O,F,O,
2016-42-1-121–161,incorporated,O,O,F,O,
2016-42-1-121–161,in,O,O,F,O,
2016-42-1-121–161,the,O,O,F,O,
2016-42-1-121–161,SMT,B,B,F,B,
2016-42-1-121–161,models,I,O,T,I,
2016-42-1-121–161,",",O,O,F,O,
2016-42-1-121–161,the,O,O,F,O,
2016-42-1-121–161,use,O,O,F,O,
2016-42-1-121–161,of,O,O,F,O,
2016-42-1-121–161,batch,B,B,F,B,
2016-42-1-121–161,learning,I,I,F,I,
2016-42-1-121–161,techniques,I,O,T,O,
2016-42-1-121–161,require,O,O,F,O,
2016-42-1-121–161,very,O,O,F,O,
2016-42-1-121–161,time,B,O,T,O,
2016-42-1-121–161,-,I,O,T,O,
2016-42-1-121–161,consuming,I,O,T,O,
2016-42-1-121–161,estimation,I,O,T,O,
2016-42-1-121–161,processes,I,O,T,O,
2016-42-1-121–161,over,O,O,F,O,
2016-42-1-121–161,the,O,O,F,O,
2016-42-1-121–161,whole,O,O,F,O,
2016-42-1-121–161,training,B,O,T,B,
2016-42-1-121–161,set,I,O,T,I,
2016-42-1-121–161,that,O,O,F,O,
2016-42-1-121–161,may,O,O,F,O,
2016-42-1-121–161,take,O,O,F,O,
2016-42-1-121–161,days,O,O,F,O,
2016-42-1-121–161,or,O,O,F,O,
2016-42-1-121–161,weeks,O,O,F,O,
2016-42-1-121–161,to,O,O,F,O,
2016-42-1-121–161,be,O,O,F,O,
2016-42-1-121–161,executed,O,O,F,O,
2016-42-1-121–161,.,O,O,F,O,
2016-42-1-121–161,By,O,O,F,O,
2016-42-1-121–161,means,O,O,F,O,
2016-42-1-121–161,of,O,O,F,O,
2016-42-1-121–161,the,O,O,F,O,
2016-42-1-121–161,application,O,O,F,O,
2016-42-1-121–161,of,O,O,F,O,
2016-42-1-121–161,online,B,O,T,O,
2016-42-1-121–161,learning,I,O,T,O,
2016-42-1-121–161,",",O,O,F,O,
2016-42-1-121–161,new,O,O,F,O,
2016-42-1-121–161,training,B,B,F,B,
2016-42-1-121–161,samples,I,I,F,I,
2016-42-1-121–161,can,O,O,F,O,
2016-42-1-121–161,be,O,O,F,O,
2016-42-1-121–161,processed,B,O,T,O,
2016-42-1-121–161,individually,O,O,F,O,
2016-42-1-121–161,in,O,O,F,O,
2016-42-1-121–161,real,B,O,T,O,
2016-42-1-121–161,time,I,O,T,O,
2016-42-1-121–161,.,O,O,F,O,
2016-42-1-121–161,For,O,O,F,O,
2016-42-1-121–161,this,O,O,F,O,
2016-42-1-121–161,purpose,O,O,F,O,
2016-42-1-121–161,",",O,O,F,O,
2016-42-1-121–161,we,O,O,F,O,
2016-42-1-121–161,define,O,O,F,O,
2016-42-1-121–161,a,O,O,F,O,
2016-42-1-121–161,state,B,O,T,B,
2016-42-1-121–161,-,I,O,T,I,
2016-42-1-121–161,of,I,O,T,I,
2016-42-1-121–161,-,I,O,T,I,
2016-42-1-121–161,the,I,O,T,I,
2016-42-1-121–161,-,I,O,T,I,
2016-42-1-121–161,art,I,O,T,I,
2016-42-1-121–161,SMT,B,B,F,B,
2016-42-1-121–161,model,I,O,T,I,
2016-42-1-121–161,composed,O,O,F,O,
2016-42-1-121–161,of,O,O,F,O,
2016-42-1-121–161,a,O,O,F,O,
2016-42-1-121–161,set,O,O,F,O,
2016-42-1-121–161,of,O,O,F,O,
2016-42-1-121–161,submodels,B,O,T,B,
2016-42-1-121–161,",",O,O,F,O,
2016-42-1-121–161,as,O,O,F,O,
2016-42-1-121–161,well,O,O,F,O,
2016-42-1-121–161,as,O,O,F,O,
2016-42-1-121–161,a,O,O,F,O,
2016-42-1-121–161,set,O,O,F,O,
2016-42-1-121–161,of,O,O,F,O,
2016-42-1-121–161,incremental,B,B,F,B,
2016-42-1-121–161,update,I,I,F,I,
2016-42-1-121–161,rules,I,O,T,O,
2016-42-1-121–161,for,O,O,F,O,
2016-42-1-121–161,each,O,O,F,O,
2016-42-1-121–161,of,O,O,F,O,
2016-42-1-121–161,these,O,O,F,O,
2016-42-1-121–161,submodels,B,O,T,B,
2016-42-1-121–161,.,O,O,F,O,
2016-42-1-121–161,To,O,O,F,O,
2016-42-1-121–161,test,O,O,F,O,
2016-42-1-121–161,our,O,O,F,O,
2016-42-1-121–161,techniques,O,O,F,O,
2016-42-1-121–161,",",O,O,F,O,
2016-42-1-121–161,we,O,O,F,O,
2016-42-1-121–161,have,O,O,F,O,
2016-42-1-121–161,studied,O,O,F,O,
2016-42-1-121–161,two,O,O,F,O,
2016-42-1-121–161,well,O,O,F,O,
2016-42-1-121–161,-,O,O,F,O,
2016-42-1-121–161,known,O,O,F,O,
2016-42-1-121–161,SMT,B,B,F,B,
2016-42-1-121–161,applications,I,O,T,O,
2016-42-1-121–161,that,O,O,F,O,
2016-42-1-121–161,can,O,O,F,O,
2016-42-1-121–161,be,O,O,F,O,
2016-42-1-121–161,used,O,O,F,O,
2016-42-1-121–161,in,O,O,F,O,
